Grapheme	IPA
ś	ś/ʃ
-$	NULL
ng	ŋ
ng:	ŋ +
*-	NULL
-_?$	NULL
ó	ó/o
^	NULL
$	NULL
ʼ	NULL
’	NULL
,	NULL
ˋ	NULL
ˊ	NULL
.	NULL
0	NULL
/	NULL
'	NULL
;	NULL
|	NULL
|g	g
|t	t
1	NULL
1$	NULL
^-	NULL
◦	+
_	+
-	+
^?	ʔ
?$	ʔ
?	NULL
a	a
á	á/a
à	à/a
â	â/a
ã	ã
ā	ā/a
ḁ	ḁ
a̱	a̠
a:	aː
ā:	āː/aː
a:$	aː
ā:$	āː/aː
ā:s	āː/aː s
aˊ$	a̰
aˋ$	a
a$	a
â$	aː
ā$	ā/a
a̱$	a̠
aa	aː
aa$	aː
ai	ai
ās	ā/a s
âw	âw/au
åw	åw/au
au	au
ɑ	ɑ
^e	e
e	e
é	é/e
e̊	e̥
ê	ê/e
ei	ei
e:	eː
e:$	eː
e$	e
ê$	ê/e
ee	eː
ɛ	ɛ
^u	u
u	u
u$	u
ù	ù/u
ũ	ũ
û	uː
û$	û/u
ü	ə
ü$	ə
ū	ū/u
ū:$	ūː/uː
ü ss	ə sː
u:	uː
u:$	uː
ū:	ūː/uː
üh	ə h
üs	ə s
üsh	ə ʃ
üsh$	ə sh/ʃ
üshw	ə sh/ʃ w
üü	əː
uu$	uː
üü$	əː
üw	əu
üwh	əu h
o	o
ô	ô/o
oo	oː
oo$	oː
o:	oː
o$	o
ô$	ô/o
ö$	o
ö	o
i	i
î	î/i
ï	ï/i
i̇	i
ī	ī/i
i:	iː
ī:	īː/iː
i:$	iː
ī:$	īː/iː
ī:h	īː/iː h
ī:sw	īː/iː s w
i$	i
ì	ì/i
ì$	ì/i
î$	î/i
ī$	ī/i
ïh$	ï/i h
ii	ii/iː
ii$	ii/iː
y	j
y$	j
b	b
b̥	b̥
b$	b
bh	bʰ
bhw	bʰ w
bs	b s
bs$	b s
bw	b w
bʒ	b ʒ
c	c/tɕ
C	C/tɕ
cc	cc/tɕː
ch	ch/tɕʰ
chh	chh/tɕʰ
chw	ch/tɕʰ w
cw	c/tɕ w
d	d
d$	d
dd	dː
dh	dʰ
ds	d s
dw	d w
f	f
fh	fʰ
fw	f w
g	g
g:	gː
g$	g
gg	gː
gh	gʰ
gh:	gʰː
gh$	gʰ
ghs	gʰ s
ghw	gʰ w
gs	g s
gs$	g s
gsh	g ʃ
gw	g w
ɣ	ɣ
h	h
ĥ	ĥ/h
h$	h
hs	h s
hsh	h sh/ʃ
hw	h w
j	j/dʒ
ĵ	j/dʒ
j$	j/dʒ
jh	jh/dʒʰ
jw	j/dʒ w
k	k
k$	k
kh	kʰ
kh$	kʰ
khw	kʰ w
kk	kː
ks	k s
ksh	k ʃ
kw	k w
K	k
l	l
l$	l
lh	lh/l̥
lh$	lh/l̥
lhw	lh/l̥ w
ll	lː
ls	l s
lw	l w
m	m
m̊	m̥
ṁ	ṁ/m
m̩	m̩
m:	mː
m̊:	m̥ː
ṁ:	ṁ:/mː
m:$	mː
m̊:$	m̥ː
ṁ:$	ṁ:/mː
ṁ:s	ṁ:/mː s
m$	m
m̊$	m̥
ṁ$	ṁ/m
mh	mh/m̥
mhˊ	mh/m̥
mh$	m̥
mm	mː
ms	m s
ms$	m s
msh	m sh/ʃ
mw	m w
mʼ$	m
n	n
N	N/ŋ
N$	N/ŋ
ñ	ɲ
ṅ	ŋ
n:	nː
ñ:	ɲː
ṅ:	ŋː
ń:	ńː/nː
n:$	nː
ń:$	ń:/ŋː
ñ:$	ɲː
ṅ:$	ŋː
n:s	nː s
nˋ$	n
n$	n
ñ$	ɲ
ṅ$	ŋ
nh	n̥
ñh	ɲ̊
ṅh	ŋ̊
nhˊ$	n̥
nh$	ŋ̥
nn	nː
ññ	ɲː
ññ:	ɲː
ṅṅ	ŋː
ññ$	ɲː
ns	n s
ñs	ɲ s
ṅs	ŋ̥ s
ns$	n s
ṅs$	ŋ s
nsh	n ʃ
nw	n w
Nw	N w
nʼ	n
ñʼ	ɲ
ñʼ$	ɲ
ṅʼ$	ŋ̥
ŋ	ŋ
ŋ$	ŋ
p	p
p$	p
pf	pf
ph	pʰ
pp	p p
ps	p s
psh	p  sh/ʃ
pw	p w
r	r
r̊	r̥
r̥a	r̥ a
r$	r
r̊$	r̥
rh	rh/r̥
rh$	rh/r̥
rr	rː
rs	r s
rsh	r sh/ʃ
rw	r w
rwh	r wh/w̥
s	s
s$	s
sh	sh/ʃ
sh$	sh/ʃ
shw	sh/ʃ w
ss	sː
sw	s w
swh	s wh/w̥
ʃ	ʃ
t	t
ṭ	ʈ
t̥	t̥/t
t$	t
th	tʰ
ṭh	ʈʰ
t̥h	t̥/tʰ
th$	tʰ
ths	tʰ s
thw	tʰ w
ts	ts
tsh	tsʰ
tsw	ts w
tt	tː
tw	t w
v	v
V	V/ə	
v$	v
vh	vh/v̥
vw	v w
w	w
w$	w
wh	wh/w̥
wh$	wh/w̥
ws	w s
xh	xh/xʰ
z	z
z$	z
zh	zh/ʒ
zw	z w
^ʒ	ʒ
ʒ	ʒ
ʔ	ʔ
ʔ$	ʔ
ʔsh	ʔ  sh/ʃ
^e̊rh$	e̊/e rh/r̥
^thswa$	tsʰ w a
^gʒima$	g ʒ i m a
^saC$	ts a C/n
^tsaw/tsóʔ$	ts aw/au
